,price,ranks,title,no_of_reviews,ratings,author,cover_type,year,category
230,9.99,37,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","3,567",4.5,Charlaine Harris,Hardcover,2011,Fiction
231,16.5,38,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,803",4.5,Jim Collins,Hardcover,2011,Non Fiction
232,19,39,The Litigators,"11,507",4.5,John Grisham,Hardcover,2011,Fiction
233,20.65,40,"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","2,172",4.4,Rob Bell,Hardcover,2011,Non Fiction
234,10.49,41,The Help,"18,068",4.8,Kathryn Stockett,Paperback,2011,Fiction
235,23.87,42,"Thinking, Fast and Slow","29,732",4.6,Daniel Kahneman,Hardcover,2011,Non Fiction
236,15.99,43,The Paris Wife: A Novel,"5,284",4.4,Paula McLain,Hardcover,2011,Fiction
237,9.21,44,Radical: Taking Back Your Faith from the American Dream,"2,727",4.7,David Platt,Paperback,2011,Non Fiction
238,9.8,45,The Art of Racing in the Rain: A Novel,"16,418",4.7,Garth Stein,Paperback,2011,Fiction
239,22.99,46,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,860,4.5,Doug Lemov,Paperback,2011,Non Fiction
240,12.99,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,,Paperback,2011,Non Fiction
241,24,48,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,4.7,,Paperback,2011,unknown
242,18,49,What to Expect When You're Expecting,"29,389",4.8,Heidi Murkoff,Paperback,2011,Non Fiction
243,18.89,51,The Best of Me,"8,837",4.6,Nicholas Sparks,Hardcover,2011,unknown
244,13.08,52,Jacqueline Kennedy: Historic Conversations on Life with John F. Kennedy,Jacqueline Kennedy,4.4,,Hardcover,2011,unknown
245,9.49,53,The Girl with the Dragon Tattoo (Millennium Series),"15,466",4.5,Stieg Larsson,Paperback,2011,Fiction
246,25.41,54,The Greater Journey: Americans in Paris,"1,694",4.5,David McCullough,Hardcover,2011,unknown
247,16.99,55,Switch: How to Change Things When Change Is Hard,"3,912",4.6,Chip Heath,Hardcover,2011,Non Fiction
248,11.99,56,Every Thing On It,"1,753",4.9,Shel Silverstein,Hardcover,2011,unknown
249,10.41,57,Miss Peregrine's Home for Peculiar Children,"13,221",4.5,Ransom Riggs,Hardcover,2011,unknown
250,13.58,58,Moonwalking With Einstein: The Art and Science of Remembering Everything,"5,965",4.5,Joshua Foer,Hardcover,2011,unknown
251,6.79,59,The Great Gatsby: The Only Authorized Edition,"18,656",4.5,F. Scott Fitzgerald,Paperback,2011,unknown
252,13.78,60,The Help,"18,068",4.8,Kathryn Stockett,Hardcover,2011,Fiction
253,21.99,61,1Q84: A novel,"4,649",4.4,Haruki Murakami,Hardcover,2011,unknown
254,13.81,62,Boomerang: Travels in the New Third World,"1,774",4.5,Michael Lewis,Hardcover,2011,unknown
255,16.13,63,Who Moved My Cheese,"16,756",4.6,Spencer Johnson,Hardcover,2011,unknown
256,15.64,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","2,349",4.5,Tom Rath,Hardcover,2011,unknown
257,,65,Elder Scrolls V: Skyrim: Prima Official Game Guide,David Hodgson,4.6,,Paperback,2011,unknown
258,12.06,66,The Glass Castle: A Memoir (book),"19,006",4.6,Jeannette Walls,Paperback,2011,unknown
259,6.99,67,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2011,Fiction
260,13.39,68,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich","18,929",4.5,Timothy Ferriss,Hardcover,2011,unknown
261,8.48,69,"Oh, the Places You'll Go!  ","42,848",4.9,Dr. Seuss,Hardcover,2011,unknown
262,8.93,70,Through My Eyes,"1,003",4.7,Tim Tebow,Hardcover,2011,unknown
263,22.79,71,The Land of Painted Caves: A Novel (Earth's Children),"6,293",4.2,Jean M. Auel,Hardcover,2011,unknown
264,14.52,72,"The Social Animal: The Hidden Sources of Love, Character, and Achievement",865,4.5,David Brooks,Hardcover,2011,unknown
265,24.33,73,A Guide to the Project Management Body of Knowledge,726,4.4,Project Management Institute,Paperback,2011,unknown
266,12.94,74,Guinness World Records 2012,489,4.6,Guinness World Records,Hardcover,2011,unknown
267,19.1,75,State of Wonder,"3,966",4.2,Ann Patchett,Hardcover,2011,unknown
268,11.59,76,A Visit from the Goon Squad,"4,365",4,Jennifer Egan,Paperback,2011,unknown
269,16.2,77,"Prevent And Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",Caldwell B. Esselstyn Jr.,4.6,,Paperback,2011,unknown
270,38.86,78,Harry Potter Paperback Box Set (Books 1-7),"91,628",4.9,J. K. Rowling,Paperback,2011,Fiction
271,14.99,79,Explosive Eighteen: A Stephanie Plum Novel (Stephanie Plum Novels),"4,629",4.6,Janet Evanovich,Hardcover,2011,unknown
272,15.98,80,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,"11,732",4.6,Sean Covey,Paperback,2011,unknown
273,16.97,81,"Delivering Happiness: A Path to Profits, Passion, and Purpose","3,242",4.6,Tony Hsieh,Hardcover,2011,Non Fiction
274,14.53,82,"The Lost Hero (Heroes of Olympus, Book 1)","11,549",4.8,Rick Riordan,Hardcover,2011,Fiction
275,10.43,83,Room,"9,750",4.5,Emma Donoghue,Paperback,2011,unknown
276,13.49,84,Hotel on the Corner of Bitter and Sweet,"6,239",4.6,Jamie Ford,Paperback,2011,unknown
277,12.99,85,The Tipping Point: How Little Things Can Make a Big Difference,"5,732",4.4,Malcolm Gladwell,Paperback,2011,Non Fiction
278,14.98,86,Emotional Intelligence 2.0,"10,429",4.5,Travis Bradberry,Hardcover,2011,unknown
279,15.71,87,Outliers: The Story of Success,"22,209",4.7,Malcolm Gladwell,Paperback,2011,Non Fiction
280,8.69,88,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,"2,800",4.5,Gene Stone,Paperback,2011,unknown
281,11.12,89,The Girl Who Played with Fire (Millennium Series),"10,693",4.7,Stieg Larsson,Paperback,2011,Fiction
282,20.25,90,"Hungry Girl 300 Under 300: 300 Breakfast, Lunch & Dinner Dishes Under 300 Calories","1,156",4.4,Lisa Lillien,Paperback,2011,unknown
283,25,91,The Alchemist,Paulo Coelho,4.7,,Paperback,2011,Fiction
284,24.95,92,Getting Things Done: The Art of Stress-Free Productivity,"4,736",4.6,David Allen,Paperback,2011,unknown
285,13.03,93,The Invention of Hugo Cabret,"2,654",4.8,Brian Selznick,Hardcover,2011,unknown
286,17.89,94,"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Gallup,3.5,,Hardcover,2011,unknown
287,10.79,95,Drive: The Surprising Truth About What Motivates Us,"5,489",4.5,Daniel H. Pink,Paperback,2011,Non Fiction
288,14.44,96,Smokin' Seventeen (Stephanie Plum),"3,762",4.6,Janet Evanovich,Hardcover,2011,unknown
289,20.61,97,,"22,268",4.8,,,2011,unknown
290,8.79,98,The Big Short: Inside the Doomsday Machine,"5,893",4.7,Michael Lewis,Paperback,2011,Non Fiction
291,9.99,99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen","11,833",4.7,Christopher McDougall,Paperback,2011,unknown
292,39.99,100,The Official Guide for GMAT Review,GMAC (Graduate Management Admission Council),4.4,,Paperback,2011,unknown
293,13.99,1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)","60,233",4,E L James,Paperback,2012,unknown
294,13.99,2,Fifty Shades Darker,"32,887",4.5,E L James,Paperback,2012,Fiction
295,13.88,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)","32,375",4.5,E L James,Paperback,2012,unknown
296,11.69,4,The Hunger Games (Book 1),"42,770",4.7,Suzanne Collins,Paperback,2012,Fiction
297,18.29,5,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2012,Non Fiction
298,19.49,6,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),"38,220",4.6,E L James,Paperback,2012,Fiction
299,9.49,7,Catching Fire (The Hunger Games),"32,459",4.7,Suzanne Collins,Hardcover,2012,Fiction
300,9.08,8,Mockingjay (The Hunger Games),"37,034",4.6,Suzanne Collins,Hardcover,2012,Fiction
301,13.95,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)","12,521",4.7,Jeff Kinney,Hardcover,2012,Fiction
302,16.89,10,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,"9,676",4.6,Mark Owen,Hardcover,2012,Non Fiction
303,59.9,11,The Hunger Games Trilogy Boxed Set,"27,185",4.8,Suzanne Collins,Hardcover,2012,unknown
304,15.21,12,Gone Girl,"66,978",4.1,Gillian Flynn,Hardcover,2012,Fiction
305,11.26,13,"The Mark of Athena (Heroes of Olympus, Book 3)","13,958",4.8,Rick Riordan,Hardcover,2012,Fiction
306,41,14,The Official SAT Study Guide,The College Board,4.4,,Paperback,2012,Non Fiction
307,54.98,15,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"6,354",4.6,George R.R. Martin,Mass Market Paperback,2012,Fiction
308,17.68,16,Killing Kennedy: The End of Camelot,"10,410",4.6,Bill O'Reilly,Hardcover,2012,Non Fiction
309,24.29,17,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2012,Non Fiction
310,9.99,18,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),"10,849",4.7,Bill O'Reilly,Hardcover,2012,Non Fiction
311,14.54,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,629",4.8,Laura Hillenbrand,Hardcover,2012,Non Fiction
312,12.79,20,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.4,,Paperback,2012,Non Fiction
313,23.99,21,The 5 Love Languages: The Secret to Love That Lasts,"7,012",4.7,Gary Chapman,Paperback,2012,Non Fiction
314,17.99,22,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,"2,346",4.8,Ina Garten,Hardcover,2012,Non Fiction
315,23.87,23,"Thinking, Fast and Slow","29,732",4.6,Daniel Kahneman,Hardcover,2012,Non Fiction
316,11,24,The Casual Vacancy,"10,955",3.4,J.K. Rowling,Hardcover,2012,Fiction
317,9.49,25,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,"19,005",4.7,Jonathan Cahn,Paperback,2012,Fiction
318,19.19,26,The Power of Habit: Why We Do What We Do in Life and Business,"22,727",4.7,Charles Duhigg,Hardcover,2012,Non Fiction
319,17.33,27,Steve Jobs,"12,780",4.7,Walter Isaacson,Hardcover,2012,Non Fiction
320,13.96,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","8,638",4.4,William Davis,Hardcover,2012,Non Fiction
321,8.48,29,"Oh, the Places You'll Go!  ","42,848",4.9,Dr. Seuss,Hardcover,2012,unknown
322,19.99,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2012,Non Fiction
323,20.72,31,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2012,unknown
324,23.01,32,Quiet: The Power of Introverts in a World That Can't Stop Talking,"20,015",4.6,Susan Cain,Hardcover,2012,Non Fiction
325,6.79,33,The Great Gatsby: The Only Authorized Edition,"18,656",4.5,F. Scott Fitzgerald,Paperback,2012,unknown
326,20.15,34,The Racketeer,"24,614",4.4,John Grisham,Hardcover,2012,Fiction
327,13.95,35,"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!","2,489",4.3,Mark Hyman M.D.,Hardcover,2012,Non Fiction
328,14.48,36,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","20,089",4.9,Sherri Duskey Rinker,Hardcover,2012,Fiction
329,12.1,37,The Immortal Life of Henrietta Lacks,"16,936",4.7,Rebecca Skloot,Paperback,2012,Non Fiction
330,11.06,38,The Fault in Our Stars,John Green,4.7,,Hardcover,2012,Fiction
331,12.58,39,"The Serpent's Shadow (The Kane Chronicles, Book 3)","4,883",4.8,Rick Riordan,Hardcover,2012,Fiction
332,17.12,40,One Thousand Gifts: A Dare to Live Fully Right Where You Are,"4,514",4.6,Ann Voskamp,Hardcover,2012,Non Fiction
333,18.24,41,Wild: From Lost to Found on the Pacific Crest Trail,"23,549",4.5,Cheryl Strayed,Hardcover,2012,Non Fiction
334,13.98,42,Winter of the World: Book Two of the Century Trilogy,"18,184",4.6,Ken Follett,Hardcover,2012,Fiction
335,13.32,43,The Pioneer Woman Cooks―Food from My Frontier,"4,667",4.8,Ree Drummond,Hardcover,2012,unknown
336,12.8,44,The Lego Ideas Book: Unlock Your Imagination,"9,887",4.5,Daniel Lipkowitz,Hardcover,2012,Non Fiction
337,10.24,45,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"17,368",4.7,Todd Burpo,Paperback,2012,Non Fiction
338,7.53,46,"Jesus Calling, Padded Hardcover, with Scripture references","31,196",4.9,Sarah Young,Hardcover,2012,unknown
339,12.99,47,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,,Paperback,2012,Non Fiction
340,17.65,48,Thomas Jefferson: The Art of Power,"2,922",4.6,Jon Meacham,Hardcover,2012,Non Fiction
341,16.5,49,Good to Great: Why Some Companies Make the Leap and Others Don't,"5,803",4.5,Jim Collins,Hardcover,2012,Non Fiction
342,9.6,50,The Amateur,"2,707",4.5,Edward Klein,Hardcover,2012,Non Fiction
343,17.14,51,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,"1,834",4.7,Deb Perelman,Hardcover,2012,unknown
344,18,52,What to Expect When You're Expecting,"29,389",4.8,Heidi Murkoff,Paperback,2012,Non Fiction
345,27.49,53,The Walking Dead: Compendium One,"7,562",4.8,Robert Kirkman,Paperback,2012,unknown
346,18.46,54,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,"1,939",4.5,Nate Silver,Hardcover,2012,unknown
347,7.07,55,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),"10,687",4.5,The Oatmeal,Paperback,2012,unknown
348,24.31,56,A Dance with Dragons (A Song of Ice and Fire),"17,252",4.5,George R. R. Martin,Hardcover,2012,Fiction
349,15.84,57,America Again: Re-becoming the Greatness We Never Weren't,604,4.3,Stephen Colbert,Hardcover,2012,unknown
350,,58,LEGO NINJAGO: Character Encyclopedia,DK Publishing,4.5,,Hardcover,2012,unknown
351,18.52,59,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"19,371",4.6,Chris Kyle,Hardcover,2012,Non Fiction
352,15.71,60,Outliers: The Story of Success,"22,209",4.7,Malcolm Gladwell,Paperback,2012,Non Fiction
353,22.99,61,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,860,4.5,Doug Lemov,Paperback,2012,Non Fiction
354,,62,Bared to You,"14,707",4.4,Sylvia Day,Paperback,2012,unknown
355,7.74,63,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,676",4.7,Don Miguel Ruiz,Paperback,2012,Non Fiction
356,15.64,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow","2,349",4.5,Tom Rath,Hardcover,2012,unknown
357,16.97,65,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,,Hardcover,2012,Non Fiction
358,16.48,66,Crazy Love: Overwhelmed by a Relentless God,"1,920",4.7,Francis Chan,Paperback,2012,Non Fiction
359,14.35,67,Go the F**k to Sleep,"20,243",4.8,Adam Mansbach,Hardcover,2012,Fiction
360,27.99,68,Bring Up the Bodies,"8,622",4.5,Hilary Mantel,Hardcover,2012,unknown
361,,69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)","1,281",4.6,Jim Collins,Hardcover,2012,unknown
362,21.9,70,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,Joel Fuhrman MD,4.5,,Mass Market Paperback,2012,unknown
363,17,71,"Reflected in You (Crossfire, Book 2)","12,620",4.6,Sylvia Day,Paperback,2012,unknown
364,16.13,72,Who Moved My Cheese,"16,756",4.6,Spencer Johnson,Hardcover,2012,unknown
365,6.99,73,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2012,Fiction
366,24.33,74,A Guide to the Project Management Body of Knowledge,726,4.4,Project Management Institute,Paperback,2012,unknown
367,16,75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity","3,845",4.3,Katherine Boo,Hardcover,2012,unknown
368,14.85,76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)","4,372",4.5,Charlaine Harris,Hardcover,2012,unknown
369,20.97,77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition","9,891",4.7,Kerry Patterson,Paperback,2012,unknown
370,8.69,78,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,"2,800",4.5,Gene Stone,Paperback,2012,unknown
371,15.79,79,The Jesus Storybook Bible: Every Story Whispers His Name,"11,859",4.9,Sally Lloyd-Jones,Hardcover,2012,unknown
372,14.76,80,Notorious Nineteen: A Stephanie Plum Novel,"8,075",4.6,Janet Evanovich,Hardcover,2012,unknown
373,19.87,81,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life","2,827",4.5,Timothy Ferriss,Hardcover,2012,unknown
374,11.99,82,Cloud Atlas,"5,824",4.3,David Mitchell,Paperback,2012,unknown
375,25,83,The Alchemist,Paulo Coelho,4.7,,Paperback,2012,Fiction
376,22.6,84,The Hunger Games,"42,770",4.7,Suzanne Collins,Hardcover,2012,Fiction
377,13,85,"Help, Thanks, Wow: The Three Essential Prayers","2,022",4.6,Anne Lamott,Hardcover,2012,unknown
378,9.67,86,Wonder,"35,698",4.8,R. J. Palacio,Hardcover,2012,Fiction
379,22.97,87,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",50,3.8,Woo Myung,Hardcover,2012,unknown
380,9.29,88,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story","4,826",4.5,Mary C. Neal,Paperback,2012,unknown
381,9.79,89,"Forks Over Knives―The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day","13,075",4.5,Del Sroufe,Paperback,2012,unknown
382,12.55,90,Catching Fire (Hunger Games),"32,459",4.7,Suzanne Collins,Paperback,2012,unknown
383,19.81,91,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)","13,061",4.8,Robert Jordan,Hardcover,2012,unknown
384,,92,"Cabin Fever (Diary of a Wimpy Kid, Book 6)","11,127",4.8,Jeff Kinney,Hardcover,2012,Fiction
385,15.98,93,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,"11,732",4.6,Sean Covey,Paperback,2012,unknown
386,26.43,94,The Passage of Power: The Years of Lyndon Johnson,"1,511",4.8,Robert A. Caro,Hardcover,2012,unknown
387,14.52,95,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,"5,477",4.8,Ree Drummond,Hardcover,2012,unknown
388,23.95,96,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",Zhi Gang Sha Dr.,4.6,,Hardcover,2012,unknown
389,24,97,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",Thomas Campbell,4.7,,Paperback,2012,unknown
390,,,,,,,,2012,unknown
391,20.26,99,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,"6,212",4.8,Timothy Keller,Hardcover,2012,unknown
392,5.49,100,Night (Night),"8,573",4.7,Elie Wiesel,Paperback,2012,Non Fiction
393,18.29,1,StrengthsFinder 2.0,Gallup,4.1,,Hardcover,2013,Non Fiction
394,16.2,2,"Lean In: Women, Work, and the Will to Lead","8,182",4.5,Sheryl Sandberg,Hardcover,2013,Non Fiction
395,13.85,3,"Diary of a Wimpy Kid: Hard Luck, Book 8","12,470",4.8,Jeff Kinney,Hardcover,2013,Fiction
396,10.25,4,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),"9,349",4.9,Rush Limbaugh,Hardcover,2013,Fiction
397,7.53,5,"Jesus Calling, Padded Hardcover, with Scripture references","31,196",4.9,Sarah Young,Hardcover,2013,unknown
398,13.59,6,Inferno,"35,546",4.2,Dan Brown,Hardcover,2013,Fiction
399,12.2,7,"The House of Hades (Heroes of Olympus, Book 4)","15,237",4.8,Rick Riordan,Hardcover,2013,Fiction
400,11.87,8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]","7,789",4.7,Charles Krauthammer,Hardcover,2013,Non Fiction
401,6.79,9,The Great Gatsby: The Only Authorized Edition,"18,656",4.5,F. Scott Fitzgerald,Paperback,2013,unknown
402,18.44,10,Killing Jesus (Bill O'Reilly's Killing Series),"13,007",4.5,Bill O'Reilly,Hardcover,2013,Non Fiction
403,12.79,11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.4,,Paperback,2013,Non Fiction
404,144,12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","12,114",4.7,American Psychiatric Association,Paperback,2013,Non Fiction
405,41,13,The Official SAT Study Guide,The College Board,4.4,,Paperback,2013,Non Fiction
406,11.06,14,The Fault in Our Stars,John Green,4.7,,Hardcover,2013,Fiction
407,6.99,15,The Book Thief,"34,536",4.7,Markus Zusak,Paperback,2013,Fiction
408,9.67,16,Wonder,"35,698",4.8,R. J. Palacio,Hardcover,2013,Fiction
409,23.99,17,The 5 Love Languages: The Secret to Love That Lasts,"7,012",4.7,Gary Chapman,Paperback,2013,Non Fiction
410,24.29,18,"Publication Manual of the American Psychological Association, 6th Edition","12,674",4.5,American Psychological Association,Paperback,2013,Non Fiction
411,,19,Divergent,"9,701",4.7,Veronica Roth,Paperback,2013,Fiction
412,4.99,20,Laugh-Out-Loud Jokes for Kids,"10,751",4.6,Rob Elliott,Paperback,2013,Non Fiction
413,8.48,21,"Oh, the Places You'll Go!  ","42,848",4.9,Dr. Seuss,Hardcover,2013,unknown
414,16.6,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","7,251",4.5,Malcolm Gladwell,Hardcover,2013,Non Fiction
415,54.98,23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,"6,354",4.6,George R.R. Martin,Mass Market Paperback,2013,Fiction
416,12.04,24,Allegiant,"24,591",3.9,Veronica Roth,Hardcover,2013,Fiction
417,12.33,25,And the Mountains Echoed,"17,303",4.4,Khaled Hosseini,Hardcover,2013,Fiction
418,15.38,26,Humans of New York,"5,377",4.8,Brandon Stanton,Hardcover,2013,Non Fiction
419,32,27,The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,,Hardcover,2013,Fiction
420,16,28,Doctor Sleep: A Novel,"23,805",4.7,Stephen King,Hardcover,2013,Fiction
421,4.44,29,Knock-Knock Jokes for Kids (Laugh-Out-Loud Jokes for Kids),"5,687",4.5,Rob Elliott,Paperback,2013,unknown
422,22.33,30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),"42,846",4,Donna Tartt,Hardcover,2013,Fiction
423,7.74,31,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),"86,676",4.7,Don Miguel Ruiz,Paperback,2013,Non Fiction
424,15.21,32,Gone Girl,"66,978",4.1,Gillian Flynn,Hardcover,2013,Fiction
425,17.2,33,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,"6,506",4.7,Brian Kilmeade,Hardcover,2013,Non Fiction
426,13.47,34,Quiet: The Power of Introverts in a World That Can't Stop Talking,"20,015",4.6,Susan Cain,Paperback,2013,Non Fiction
427,14.48,35,"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","20,089",4.9,Sherri Duskey Rinker,Hardcover,2013,Fiction
428,14.61,36,Sycamore Row (Jake Brigance),"36,455",4.6,John Grisham,Hardcover,2013,Fiction
429,13.96,37,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health","8,638",4.4,William Davis,Hardcover,2013,Non Fiction
430,14.39,38,"The Pioneer Woman Cooks―A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations","4,883",4.8,Ree Drummond,Hardcover,2013,unknown
431,9.19,39,The Day the Crayons Quit,"19,898",4.8,Drew Daywalt,Hardcover,2013,Fiction
432,13.15,40,"Happy, Happy, Happy: My Life and Legacy as the Duck Commander","4,798",4.8,Phil Robertson,Hardcover,2013,Non Fiction
433,4.93,41,The Very Hungry Caterpillar,"54,008",4.9,Eric Carle,Board book,2013,Fiction
434,12.9,42,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,,Hardcover,2013,Non Fiction
435,19.99,43,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,Paperback,2013,Non Fiction
436,9.66,44,Joyland (Hard Case Crime),"10,723",4.6,Stephen King,Paperback,2013,Fiction
437,13.99,45,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades Of Grey Series, 1)","60,233",4,E L James,Paperback,2013,unknown
438,15.29,46,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",278,4.6,Zhi Gang Sha,Hardcover,2013,unknown
439,15.95,47,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,,Hardcover,2013,Non Fiction
440,12.27,48,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","7,980",4.7,Allie Brosh,Paperback,2013,Non Fiction
441,17.36,49,To Kill a Mockingbird,"68,841",4.8,Harper Lee,Mass Market Paperback,2013,Fiction
442,20.72,50,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,,Hardcover,2013,unknown
443,14.54,51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","33,629",4.8,Laura Hillenbrand,Hardcover,2013,Non Fiction
444,21.5,52,Ender's Game (The Ender Quintet),"18,398",4.6,Orson Scott Card,Mass Market Paperback,2013,unknown
445,,53,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,"29,674",4.7,Brené Brown,Paperback,2013,unknown
446,16.68,54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)","27,919",4.2,Robert Galbraith,Hardcover,2013,unknown
447,18,55,What to Expect When You're Expecting,"29,389",4.8,Heidi Murkoff,Paperback,2013,Non Fiction
448,10.61,56,America the Beautiful: Rediscovering What Made This Nation Great,Ben Carson  M.D.,4.8,,Paperback,2013,unknown
449,17.36,57,The Liberty Amendments: Restoring the American Republic,"4,052",4.8,Mark R. Levin,Hardcover,2013,unknown
450,16.5,58,ZEALOT: The Life and Times of Jesus of Nazareth,"7,011",4.4,Reza Aslan,Hardcover,2013,unknown
451,11.8,59,The One and Only Ivan,Katherine Applegate,4.8,,Hardcover,2013,unknown
